date,price,per_chg_from_day_prior
2001-04-24,121.58000183105469,-0.00539918229915528
2001-04-25,123.16999816894531,0.013077778532196885
2001-04-26,123.72000122070313,0.0044653979047998725
2001-04-27,125.77999877929688,0.016650481233983636
2001-04-30,126.66000366210938,0.006996381708960129
2001-05-01,127.05000305175781,0.003079104518967472
2001-05-02,126.81999969482422,-0.001810337279881014
2001-05-03,125.20999908447266,-0.012695163335639638
2001-05-04,127.33999633789063,0.017011399001616242
2001-05-07,126.23999786376953,-0.008638279454652254
2001-05-08,126.18000030517578,-4.7526583974197853e-4
2001-05-09,125.6500015258789,-0.004200339023736196
2001-05-10,126.0199966430664,0.0029446487281681068
2001-05-11,125.1500015258789,-0.006903627522318038
2001-05-14,125.4000015258789,0.0019976028521925685
2001-05-15,125.9800033569336,0.0046252139074734544
2001-05-16,128.9499969482422,0.023575119163109098
2001-05-17,129.14999389648438,0.0015509651258267347
2001-05-18,129.74000549316406,0.004568421405831351
2001-05-21,131.64999389648438,0.014721661187388718
2001-05-22,131.47999572753906,-0.0012912888479051589
2001-05-23,129.25,-0.01696072254337608
2001-05-24,129.6300048828125,0.0029400764627659573
2001-05-25,128.10000610351563,-0.011802813559098584
2001-05-29,127.08000183105469,-0.007962562247160925
2001-05-30,125.30000305175781,-0.014006914964191436
2001-05-31,125.94999694824219,0.005187501042724487
2001-06-01,126.7300033569336,0.006192984736728033
2001-06-04,127.33999633789063,0.004813327268989278
2001-06-05,128.8000030517578,0.011465421358998073
2001-06-06,127.7300033569336,-0.00830745084993704
2001-06-07,128.19000244140625,0.0036013393281390375
2001-06-08,127,-0.00928311427367499
2001-06-11,126.0999984741211,-0.007086626188022884
2001-06-12,125.87999725341797,-0.0017446568070203015
2001-06-13,124.80000305175781,-0.008579553743442997
2001-06-14,122,-0.02243592134045524
2001-06-15,121.8499984741211,-0.0012295207039254611
2001-06-18,121.26000213623047,-0.004841988882059201
2001-06-19,121.79000091552734,0.0043707634006260685
2001-06-20,122.43000030517578,0.005254941988976061
2001-06-21,123.81999969482422,0.01135342143415542
2001-06-22,122.8499984741211,-0.007833962389709745
2001-06-25,121.72000122070313,-0.009198186955256722
2001-06-26,121.55000305175781,-0.0013966329875159237
2001-06-27,121.4800033569336,-5.758921683812039e-4
2001-06-28,122.1500015258789,0.005515295937033506
2001-06-29,122.5999984741211,0.0036839700582963182
2001-07-02,124.12999725341797,0.012479598681396666
2001-07-03,124.0999984741211,-2.4167227874524885e-4
2001-07-05,121.68000030517578,-0.01950038838598343
2001-07-06,119.05000305175781,-0.021614047064611154
2001-07-09,119.69999694824219,0.005459839393719172
2001-07-10,118.26000213623047,-0.012030032153086578
2001-07-11,118.37999725341797,0.0010146720363599414
2001-07-12,121.19000244140625,0.023737162131984662
2001-07-13,122.23999786376953,0.008664043247882102
2001-07-16,120.70999908447266,-0.012516351489158101
2001-07-17,121.83999633789063,0.009361256416108483
2001-07-18,121.01000213623047,-0.006812165352979734
2001-07-19,122.06999969482422,0.00875958631419928
2001-07-20,121.33999633789063,-0.005980202824269737
2001-07-23,118.94999694824219,-0.019696715524806032
2001-07-24,117.80000305175781,-0.00966787663714496
2001-07-25,119.0999984741211,0.011035614504968238
2001-07-26,120.3499984741211,0.010495382166370129
2001-07-27,120.80999755859375,0.003822177734149037
2001-07-30,120.8499984741211,3.311060039376543e-4
2001-07-31,121.3499984741211,0.004137360416326942
2001-08-01,122.11000061035156,0.006262893661202192
2001-08-02,122.61000061035156,0.00409466872083214
2001-08-03,121.94000244140625,-0.00546446591313977
2001-08-06,120.30000305175781,-0.013449232055218946
2001-08-07,120.7699966430664,0.003906846046432633
2001-08-08,118.52999877929688,-0.018547635389854364
2001-08-09,118.87999725341797,0.002952826100781387
2001-08-10,119.29000091552734,0.003448886874007619
2001-08-13,119.31999969482422,2.5147773549031986e-4
2001-08-14,119.2699966430664,-4.19066810976379e-4
2001-08-15,118.23999786376953,-0.008635858206480067
2001-08-16,118.6500015258789,0.003467554715129153
2001-08-17,116.75,-0.016013497694431084
2001-08-20,117.83000183105469,0.009250551015457709
2001-08-21,115.81999969482422,-0.017058491937498404
2001-08-22,117.0199966430664,0.010360878530513528
2001-08-23,116.5999984741211,-0.0035891145188320936
2001-08-24,119.0199966430664,0.02075470154900921
2001-08-27,118.30999755859375,-0.00596537644511871
2001-08-28,116.58000183105469,-0.014622565829081955
2001-08-29,115.54000091552734,-0.008920920391084669
2001-08-30,113.31999969482422,-0.019214135391310876
2001-08-31,114.1500015258789,0.0073244072828266785
2001-09-04,113.41999816894531,-0.006395123496937448
2001-09-05,113.69999694824219,0.002468689682747142
2001-09-06,110.7699966430664,-0.025769572417047276
2001-09-07,108.72000122070313,-0.018506775160145313
2001-09-10,110.05000305175781,0.012233276454391913
2001-09-17,104.30000305175781,-0.05224897628849413
2001-09-18,104.05000305175781,-0.0023969318570004265
2001-09-19,101.94999694824219,-0.02018266258455576
2001-09-20,98.70999908447266,-0.03178026445076215
2001-09-21,97.279998779296875,-0.014486883987832232
2001-09-24,100.69999694824219,0.03515623161863316
2001-09-25,101.75,0.01042704154497138
2001-09-26,101.38999938964844,-0.003538089536624693
2001-09-27,102.2699966430664,0.008679329901522944
2001-09-28,104.44000244140625,0.02121840099314175
2001-10-01,104.2699966430664,-0.0016277843198560028
2001-10-02,105.58000183105469,0.01256358713113464
2001-10-03,107.3499984741211,0.01676450665248795
2001-10-04,107.44000244140625,8.38416102137659e-4
2001-10-05,107.2300033569336,-0.001954570734370393
2001-10-08,106.52999877929688,-0.006528066359437037
2001-10-09,105.95999908447266,-0.005350602659867794
2001-10-10,108.31999969482422,0.022272561634038332
2001-10-11,110,0.015509604042733906
2001-10-12,109.5,-0.004545454545454545
2001-10-15,109.30000305175781,-0.0018264561483304794
2001-10-16,109.98999786376953,0.006312852632629656
2001-10-17,107.6500015258789,-0.02127462845111496
2001-10-18,107.41999816894531,-0.0021365847995673394
2001-10-19,107.3499984741211,-6.516449080005233e-4
2001-10-22,109.47000122070313,0.0197485121259047
2001-10-23,108.91000366210938,-0.005115534414444151
2001-10-24,108.62000274658203,-0.002662757375594849
2001-10-25,110.56999969482422,0.01795246638680046
2001-10-26,110.31999969482422,-0.0022610111304151746
2001-10-29,107.44999694824219,-0.02601525339486273
2001-10-30,106.16000366210938,-0.012005521849890717
2001-10-31,105.80000305175781,-0.003391113394243918
2001-11-01,108.51000213623047,0.025614357337465418
2001-11-02,109.25,0.006819628137510219
2001-11-05,110.68000030517578,0.013089247644629577
2001-11-06,112.4000015258789,0.015540307336109501
2001-11-07,112.25,-0.0013345331302719778
2001-11-08,112.5999984741211,0.0031180264955108575
2001-11-09,112.72000122070313,0.0010657437673910052
2001-11-12,112.02999877929688,-0.006121384261301074
2001-11-13,114.55000305175781,0.022494013210028117
2001-11-14,114.66000366210938,9.602846566652667e-4
2001-11-15,114.87000274658203,0.0018314937882916943
2001-11-16,114.36000061035156,-0.004439820005537903
2001-11-19,115.7699966430664,0.012329451077208325
2001-11-20,114.80000305175781,-0.008378626755075471
2001-11-21,114.04000091552734,-0.00662022749152559
2001-11-23,115.68000030517578,0.014380913508263048
2001-11-26,115.93000030517578,0.002161134157507557
2001-11-27,115.43000030517578,-0.0043129474569463715
2001-11-28,113.33999633789063,-0.018106245878537368
2001-11-29,114.87000274658203,0.013499262909186373
2001-11-30,114.05000305175781,-0.007138501568884292
2001-12-03,113.37000274658203,-0.005962299754320792
2001-12-04,115.29000091552734,0.016935680712975885
2001-12-05,117.4000015258789,0.01830167918809849
2001-12-06,117.33999633789063,-5.11117437890783e-4
2001-12-07,116.55999755859375,-0.006647339386740744
2001-12-10,114.37999725341797,-0.01870281701129852
2001-12-11,114.1500015258789,-0.002010803751196887
2001-12-12,114.27999877929688,0.0011388283108213285
2001-12-13,112.05999755859375,-0.019425982187753606
2001-12-14,113.12999725341797,0.009548453668890533
2001-12-17,114.30000305175781,0.010342135832629436
2001-12-18,114.9800033569336,0.005949258854068977
2001-12-19,115.79000091552734,0.007044681987695429
2001-12-20,114.6500015258789,-0.009845404444552211
2001-12-21,114.94999694824219,0.0026166194362898985
2001-12-24,114.7300033569336,-0.0019138198969039458
2001-12-26,115.36000061035156,0.005491129041964728
2001-12-27,116.05999755859375,0.006067934678732785
2001-12-28,116,-5.169529541258157e-4
2001-12-31,114.30000305175781,-0.0146551461055361
2002-01-02,115.52999877929688,0.010761117188965346
2002-01-03,116.83999633789063,0.011339025122784847
2002-01-04,117.62000274658203,0.006675851019677361
2002-01-07,116.79000091552734,-0.007056638426058929
2002-01-08,116.5199966430664,-0.0023118783315724777
2002-01-09,115.56999969482422,-0.008153080806827483
2002-01-10,116.08000183105469,0.004412928420673078
2002-01-11,114.94000244140625,-0.009820807819314277
2002-01-14,114.22000122070313,-0.006264148298327773
2002-01-15,115.1500015258789,0.008142184339315281
2002-01-16,112.81999969482422,-0.020234492402772926
2002-01-17,113.66999816894531,0.007534111650596722
2002-01-18,113.1500015258789,-0.004574616446228373
2002-01-22,112.37000274658203,-0.006893493316643738
2002-01-23,113.2300033569336,0.0076532934887529065
2002-01-24,113.58000183105469,0.0030910400401366915
2002-01-25,113.55000305175781,-2.6412025720422934e-4
2002-01-28,113.86000061035156,0.0027300532828030697
2002-01-29,110.27999877929688,-0.031442137817178376
2002-01-30,111.87000274658203,0.014417881618472156
2002-01-31,113.18000030517578,0.011709998448478401
2002-02-01,112.6500015258789,-0.004682795351367727
2002-02-04,109.8499984741211,-0.024855774645636132
2002-02-05,109.16999816894531,-0.0061902623087971955
2002-02-06,108.69999694824219,-0.004305223308475078
2002-02-07,108.0199966430664,-0.0062557527531446515
2002-02-08,110.08999633789063,0.019163115711474964
2002-02-11,111.44000244140625,0.012262750008385474
2002-02-12,111.08999633789063,-0.0031407582183036456
2002-02-13,112.2699966430664,0.0106220212807164
2002-02-14,112.05999755859375,-0.001870482682388371
